Cell Type;clust_basic;Gene;Subclust_name;Clust_num;Subcluster;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 2;CCDC80;Fb;2;2-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 2;COL1A1;Fb;2;2-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 2;CFD;Fb;2;2-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 2;COL1A2;Fb;2;2-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 2;CTSK;Fb;2;2-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 2;MEG3;Fb;2;2-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 2;APOD;Fb;2;2-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 2;NNMT;Fb;2;2-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 2;VIM;Fb;2;2-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 2;C1S;Fb;2;2-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 2;MFAP4;Fb;2;2-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 2;DPT;Fb;2;2-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 2;TNFAIP6;Fb;2;2-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 2;MMP2;Fb;2;2-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 2;CFH;Fb;2;2-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 2;SERPING1;Fb;2;2-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 2;SFRP2;Fb;2;2-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 2;COL3A1;Fb;2;2-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 2;SERPINF1;Fb;2;2-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 2;LUM;Fb;2;2-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 2;GEM;Fb;2;2-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 2;VCAN;Fb;2;2-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 2;C1R;Fb;2;2-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 2;PMP22;Fb;2;2-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 2;MT1M;Fb;2;2-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 2;ADIRF;Fb;2;2-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 2;PLPP3;Fb;2;2-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 3;TNFAIP6;Fb;3;3-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 3;PTGES;Fb;3;3-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 3;MEDAG;Fb;3;3-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 3;MMP2;Fb;3;3-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 3;C1S;Fb;3;3-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 3;NNMT;Fb;3;3-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 3;SELENOM;Fb;3;3-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 3;COL6A2;Fb;3;3-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 3;CRISPLD2;Fb;3;3-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 3;SERPINE2;Fb;3;3-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 3;PDPN;Fb;3;3-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 3;SLC39A14;Fb;3;3-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 3;CTSL;Fb;3;3-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 3;CFD;Fb;3;3-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 3;C1R;Fb;3;3-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
